Epoch,TrainAcc,ValAcc,Loss
1,53.98,55.1,0.0426564
2,55.26,56.3,0.0417259
3,57.44,59.6,0.0393507
4,64.56,66.7,0.0364217
5,69.43,67.8,0.0331397
6,77.99,87.3,0.0272355
7,95.81,100,0.0126963
